method,image_id,group_id,tumor,size_group,dice,candidate_source,candidate_oracle_dice_common320,selector_regret_common320,primary_failure,all_failure_flags,candidate_supply_failure,selector_choice_failure,complete_miss,over_segmentation,under_segmentation,wrong_anatomical_structure,fragmented_mask,missing_component,normal_false_positive,small_lesion_specific_failure
direct_rich_gallery,IMG000001.jpeg,btxrd-heuristic-000001,1,medium_1_to_5pct,0.0,classifier448:layercam,0.8127072414161942,0.8127072414161942,selector_choice_failure,selector_choice_failure;complete_miss;under_segmentation;wrong_anatomical_structure,0,1,1,0,1,1,0,0,0,0
direct_rich_gallery,IMG000010.jpeg,btxrd-heuristic-000006,1,medium_1_to_5pct,0.5934591754659182,external_saliency,0.7541334966319657,0.12857304631584598,fragmented_mask,fragmented_mask,0,0,0,0,0,0,1,0,0,0
direct_rich_gallery,IMG000017.jpeg,btxrd-heuristic-000009,1,medium_1_to_5pct,0.5859316528727447,layercam,0.6037939404836825,0.011199391351205401,fragmented_mask,fragmented_mask,0,0,0,0,0,0,1,0,0,0
direct_rich_gallery,IMG000018.jpeg,btxrd-heuristic-000009,1,large_ge_5pct,0.8368692157565706,external_saliency,0.8580927667855984,0.021678590274132103,fragmented_mask,fragmented_mask,0,0,0,0,0,0,1,0,0,0
direct_rich_gallery,IMG000033.jpeg,btxrd-heuristic-000017,1,medium_1_to_5pct,0.6983952558685891,classifier448:layercam,0.6993328732459168,0.0,fragmented_mask,fragmented_mask,0,0,0,0,0,0,1,0,0,0
direct_rich_gallery,IMG000034.jpeg,btxrd-heuristic-000017,1,medium_1_to_5pct,0.6042185388062887,layercam,0.7657969192077962,0.15934530630457044,over_segmentation,over_segmentation;fragmented_mask,0,0,0,1,0,0,1,0,0,0
direct_rich_gallery,IMG000048.jpeg,btxrd-heuristic-000025,1,medium_1_to_5pct,0.0,classifier448:layercam,0.6259127186279504,0.6259127186279504,selector_choice_failure,selector_choice_failure;complete_miss;under_segmentation;wrong_anatomical_structure;fragmented_mask,0,1,1,0,1,1,1,0,0,0
direct_rich_gallery,IMG000049.jpeg,btxrd-heuristic-000025,1,medium_1_to_5pct,0.0,classifier448:layercam,0.24112009020860742,0.24112009020860742,wrong_anatomical_structure,complete_miss;under_segmentation;wrong_anatomical_structure,0,0,1,0,1,1,0,0,0,0
direct_rich_gallery,IMG000050.jpeg,btxrd-heuristic-000026,1,large_ge_5pct,0.15551743853630645,external_saliency,0.8104371097234612,0.6551730778403658,selector_choice_failure,selector_choice_failure;under_segmentation;fragmented_mask,0,1,0,0,1,0,1,0,0,0
direct_rich_gallery,IMG000055.jpeg,btxrd-heuristic-000029,1,medium_1_to_5pct,0.6274360600295921,layercam,0.8254781420765027,0.19800914804802316,over_segmentation,over_segmentation;fragmented_mask,0,0,0,1,0,0,1,0,0,0
direct_rich_gallery,IMG000056.jpeg,btxrd-heuristic-000029,1,medium_1_to_5pct,0.8226046889822469,external_saliency,0.8643874643874644,0.025309311104663945,fragmented_mask,fragmented_mask,0,0,0,0,0,0,1,0,0,0
direct_rich_gallery,IMG000071.jpeg,btxrd-heuristic-000037,1,large_ge_5pct,0.5519911838410676,classifier448:layercam,0.9158989096441552,0.3632196724011596,selector_choice_failure,selector_choice_failure;fragmented_mask,0,1,0,0,0,0,1,0,0,0
direct_rich_gallery,IMG000076.jpeg,btxrd-heuristic-000039,1,medium_1_to_5pct,0.10968535770785727,layercam,0.7957270029673591,0.6252826711619135,selector_choice_failure,selector_choice_failure;under_segmentation,0,1,0,0,1,0,0,0,0,0
direct_rich_gallery,IMG000125.jpeg,btxrd-heuristic-000063,1,medium_1_to_5pct,0.5009424083769634,classifier448:layercam,0.8184319119669876,0.3081329166696877,selector_choice_failure,selector_choice_failure;fragmented_mask,0,1,0,0,0,0,1,0,0,0
direct_rich_gallery,IMG000126.jpeg,btxrd-heuristic-000063,1,medium_1_to_5pct,0.48455721252385325,classifier448:layercam,0.6907225612452463,0.20553169690822753,selector_choice_failure,selector_choice_failure;fragmented_mask,0,1,0,0,0,0,1,0,0,0
direct_rich_gallery,IMG000137.jpeg,btxrd-heuristic-000069,1,medium_1_to_5pct,0.6157609904366521,layercam,0.8721526780217526,0.2290107133031385,selector_choice_failure,selector_choice_failure;fragmented_mask,0,1,0,0,0,0,1,0,0,0
